user_statuses_count,user_followers_count,full_text,user_url,user_location,user_description,user_profile_image_url_https,is_quote_status,quote_count,user_friends_count,full_text_norm,entities_user_mentions,entities_urls,in_reply_to_user_id_str,favorite_count,lang,user_created_at,user_listed_count,created_at,user_id_str,user_favourites_count,user_verified,source,in_reply_to_status_id_str,reply_count,in_reply_to_screen_name,id_str,entities_hashtags,text_sentiment,retweet_count,user_name,user_screen_name
None,None,"#jogjaoradidol Harga tiket pesawat murah balikpapan. Usaha yang tanpa henti adalah kunci membuka gembok diri, bkn kekuasaan atau kecerdasan",None,None,None,None,None,None,None,"#jogjaoradidol Harga tiket pesawat murah balikpapan. Usaha yang tanpa henti adalah kunci membuka gembok diri, bkn kekuasaan atau kecerdasan",NA,None,NA,0,None,None,None,2015-09-25T18:10:00Z,None,None,None,None,None,0,NA,647473214499647500,jogjaoradidol,positive,0,Jual Tiket Pesawat,tiketpesawatBPN
None,None,"Ditahan dg beton2 apartement, hotel, mall, apalagi??? #Sleman #Jogja #SlemanAmbyar #JogjaAsat #JogjaOraDidol",None,None,None,None,None,None,None,"Ditahan dg beton2 apartement, hotel, mall, apalagi??? #Sleman #Jogja #SlemanAmbyar #JogjaAsat #JogjaOraDidol",NA,None,NA,0,None,None,None,2015-09-25T15:21:00Z,None,None,None,None,None,0,NA,647430682445115400,Sleman Jogja SlemanAmbyar JogjaAsat JogjaOraDidol,neutral,3,Dodok Jogja,dodoputrabangsa
None,None,#JogjaOraDidol #SlemanAmbyar #JogjaAsat #JogjaKangenKPK,None,None,None,None,None,None,None,#JogjaOraDidol #SlemanAmbyar #JogjaAsat #JogjaKangenKPK,NA,None,NA,0,None,None,None,2015-09-25T02:06:00Z,None,None,None,None,None,0,NA,647230657895071700,JogjaOraDidol SlemanAmbyar JogjaAsat JogjaKangenKPK,neutral,1,Dodok Jogja,dodoputrabangsa
None,None,Dinparbud #Jogja Bantah Maladministrasi IMB Hotel di Pajeksan - #TINSTAAFL Tdk ada izin yg gratis! #JogjaOraDidol,None,None,None,None,None,None,None,Dinparbud #Jogja Bantah Maladministrasi IMB Hotel di Pajeksan - #TINSTAAFL Tdk ada izin yg gratis! #JogjaOraDidol,NA,None,NA,0,None,None,None,2015-09-24T08:28:00Z,None,None,None,None,None,0,NA,646964367259365400,Jogja TINSTAAFL JogjaOraDidol,positive,5,Elanto Wijoyono,joeyakarta
None,None,Danais dr APBN. Seluruh rakyat #Indonesia wajib awasi! #Jogja #JogjaOraDidol #JogjaKangenKPK cc @KPK_RI @kanal_kpk,None,None,None,None,None,None,None,Danais dr APBN. Seluruh rakyat #Indonesia wajib awasi! #Jogja #JogjaOraDidol #JogjaKangenKPK cc @KPK_RI @kanal_kpk,KPK_RI kanal_kpk,None,NA,0,None,None,None,2015-09-24T07:32:00Z,None,None,None,None,None,0,NA,646950226087948300,Indonesia Jogja JogjaOraDidol JogjaKangenKPK,positive,2,Warga Yogya Berdaya,wargaberdaya
None,None,Walikota #Jogja Terburu-Buru Terbitkan Perwal Rumah Susun #JogjaOraDIdol #JogjaKangenKPK cc @KPK_RI @kanal_kpk,None,None,None,None,None,None,None,Walikota #Jogja Terburu-Buru Terbitkan Perwal Rumah Susun #JogjaOraDIdol #JogjaKangenKPK cc @KPK_RI @kanal_kpk,KPK_RI kanal_kpk,None,NA,1,None,None,None,2015-09-24T07:23:00Z,None,None,None,None,None,0,NA,646948070429618200,Jogja JogjaOraDIdol JogjaKangenKPK,neutral,2,Warga Yogya Berdaya,wargaberdaya
None,None,"DPRD #Jogja: Marak Pelanggaran Izin, Dewan Bentuk Tim Khusus #JogjaOraDidol #JogjaKangenKPK cc @KPK_RI @kanal_kpk",None,None,None,None,None,None,None,"DPRD #Jogja: Marak Pelanggaran Izin, Dewan Bentuk Tim Khusus #JogjaOraDidol #JogjaKangenKPK cc @KPK_RI @kanal_kpk",KPK_RI kanal_kpk,None,NA,0,None,None,None,2015-09-24T07:21:00Z,None,None,None,None,None,0,NA,646947622599524400,Jogja JogjaOraDidol JogjaKangenKPK,neutral,2,Warga Yogya Berdaya,wargaberdaya
None,None,"#CagarBudaya: Elanto Siap Pidanakan Walikota #Jogja - - Yen wani aja wedi2, yen wedi aja wani2 #JogjaOraDidol",None,None,None,None,None,None,None,"#CagarBudaya: Elanto Siap Pidanakan Walikota #Jogja - - Yen wani aja wedi2, yen wedi aja wani2 #JogjaOraDidol",NA,None,NA,4,None,None,None,2015-09-24T03:28:00Z,None,None,None,None,None,0,NA,646888936191602700,CagarBudaya Jogja JogjaOraDidol,neutral,12,Elanto Wijoyono,joeyakarta
None,None,Pemkot Yogya Diduga Lakukan Maladminstrasi Penerbitan IMB BWB Pajeksan lwt @tribunjogja #JogjaAsat #JogjaOraDidol,None,None,None,None,None,None,None,Pemkot Yogya Diduga Lakukan Maladminstrasi Penerbitan IMB BWB Pajeksan lwt @tribunjogja #JogjaAsat #JogjaOraDidol,tribunjogja,None,NA,0,None,None,None,2015-09-24T01:45:00Z,None,None,None,None,None,0,NA,646863016416247800,JogjaAsat JogjaOraDidol,neutral,3,Dodok Jogja,dodoputrabangsa
None,None,Wainiiii... >>> Pemkot Yogya Diduga Lakukan Maladminstrasi Penerbitan IMB BWB Pajeksan #JogjaAsat #JogjaOraDidol,None,None,None,None,None,None,None,Wainiiii... >>> Pemkot Yogya Diduga Lakukan Maladminstrasi Penerbitan IMB BWB Pajeksan #JogjaAsat #JogjaOraDidol,NA,None,NA,2,None,None,None,2015-09-24T01:38:00Z,None,None,None,None,None,2,NA,646861256494723100,JogjaAsat JogjaOraDidol,positive,9,Dodok Jogja,dodoputrabangsa
None,None,"Ada 2 lagu bahasa indonesia di album ini. 1 mengisahkan keberanian Bapak Wiji Thukul, 1 lagi untuk #balitolakreklamasi dan #jogjaoradidol",None,None,None,None,None,None,None,"Ada 2 lagu bahasa indonesia di album ini. 1 mengisahkan keberanian Bapak Wiji Thukul, 1 lagi untuk #balitolakreklamasi dan #jogjaoradidol",NA,None,NA,1,None,None,None,2015-09-23T09:22:00Z,None,None,None,None,None,0,NA,646615588488351700,balitolakreklamasi jogjaoradidol,positive,30,BROKEN ROSE,BROKENROSE_YK
None,None,Kaos keren >>> #JogjaOraDidol #JogkaAsat #JogjaKangenKPK,None,None,None,None,None,None,None,Kaos keren >>> #JogjaOraDidol #JogkaAsat #JogjaKangenKPK,NA,None,NA,0,None,None,None,2015-09-23T07:49:00Z,None,None,None,None,None,1,NA,646592317441204200,JogjaOraDidol JogkaAsat JogjaKangenKPK,positive,1,Dodok Jogja,dodoputrabangsa
None,None,Kaos keren >>> #JogjaOraDidol #JogkaAsat #JogjaKangenKPK,None,None,None,None,None,None,None,Kaos keren >>> #JogjaOraDidol #JogkaAsat #JogjaKangenKPK,NA,None,NA,0,None,None,None,2015-09-23T07:49:00Z,None,None,None,None,None,0,NA,646592197211459600,JogjaOraDidol JogkaAsat JogjaKangenKPK,positive,3,Dodok Jogja,dodoputrabangsa
None,None,@wargaberdaya turut berduka... #JogjaAsat #SlemanAmbyar #JogjaOraDidol #JogjaKangenKPK @KPK_RI,None,None,None,None,None,None,None,@wargaberdaya turut berduka... #JogjaAsat #SlemanAmbyar #JogjaOraDidol #JogjaKangenKPK @KPK_RI,wargaberdaya KPK_RI,None,NA,0,None,None,None,2015-09-23T06:51:00Z,None,None,None,None,None,0,NA,646577500772962300,JogjaAsat SlemanAmbyar JogjaOraDidol JogjaKangenKPK,negative,3,Dodok Jogja,dodoputrabangsa
None,None,jogja panas karena banyak hotelnya #jogjaoradidol,None,None,None,None,None,None,None,jogja panas karena banyak hotelnya #jogjaoradidol,NA,None,NA,0,None,None,None,2015-09-23T05:47:00Z,None,None,None,None,None,0,NA,646561479244668900,jogjaoradidol,neutral,1,iik,Ikhsanpp_
None,None,[JOGJA DIRUSAK PENDATANG!!] Gerakan Jogja Ora Didol / JOGJA TIDAK DIJUAL !! #JOGJAORADIDOL #JOGJAASAT,None,None,None,None,None,None,None,[JOGJA DIRUSAK PENDATANG!!] Gerakan Jogja Ora Didol / JOGJA TIDAK DIJUAL !! #JOGJAORADIDOL #JOGJAASAT,NA,None,NA,0,None,None,None,2015-09-23T02:50:00Z,None,None,None,None,None,0,NA,646517002153005e3,JOGJAORADIDOL JOGJAASAT,positive,0,BANG ARDI,BangArdi14
None,None,[JOGJA SEMAKIN MEN-JAKARTA] #JOGJAORADIDOL #JOGJAASAT #JOGJAORABUTUHMALL #JOGJAISTIMEWAHOTELNYA #INDONESIA,None,None,None,None,None,None,None,[JOGJA SEMAKIN MEN-JAKARTA] #JOGJAORADIDOL #JOGJAASAT #JOGJAORABUTUHMALL #JOGJAISTIMEWAHOTELNYA #INDONESIA,NA,None,NA,0,None,None,None,2015-09-23T02:48:00Z,None,None,None,None,None,0,NA,646516568474583e3,JOGJAORADIDOL JOGJAASAT JOGJAORABUTUHMALL JOGJAISTIMEWAHOTELNYA INDONESIA,neutral,0,BANG ARDI,BangArdi14
None,None,Hidup bag teka teko #jogjaoradidol #jogjaasat,None,None,None,None,None,None,None,Hidup bag teka teko #jogjaoradidol #jogjaasat,NA,None,NA,0,None,None,None,2015-09-22T22:19:00Z,None,None,None,None,None,0,NA,646448657521344500,jogjaoradidol jogjaasat,neutral,0,Adam Curniawan,Adam_Uniawan
None,None,#JogjaOraDidol,None,None,None,None,None,None,None,#JogjaOraDidol,NA,None,NA,0,None,None,None,2015-09-22T13:58:00Z,None,None,None,None,None,0,NA,646322730393014300,JogjaOraDidol,neutral,0,BANG ARDI,BangArdi14
None,None,#JogjaOraDiDol!,None,None,None,None,None,None,None,#JogjaOraDiDol!,NA,None,NA,0,None,None,None,2015-09-22T09:03:00Z,None,None,None,None,None,0,NA,646248536581869600,JogjaOraDiDol,positive,0,Kempong Unyu Uye:*,IpulCahPekok
None,None,#JogjaOraDidol #JogjaIstimewaHotelnya Pemkot Yogya Diduga Lakukan Maladminstrasi Penerbitan IMB BWB Pajeksan,None,None,None,None,None,None,None,#JogjaOraDidol #JogjaIstimewaHotelnya Pemkot Yogya Diduga Lakukan Maladminstrasi Penerbitan IMB BWB Pajeksan,NA,None,NA,0,None,None,None,2015-09-22T07:39:00Z,None,None,None,None,None,0,NA,646227313844203500,JogjaOraDidol JogjaIstimewaHotelnya,neutral,0,BANG ARDI,BangArdi14
None,None,JOGJA KANGEN KPK #Jogja #JogjaAsat #JogjaOraDidol #JogjaKangenKPK,None,None,None,None,None,None,None,JOGJA KANGEN KPK #Jogja #JogjaAsat #JogjaOraDidol #JogjaKangenKPK,NA,None,NA,0,None,None,None,2015-09-22T03:26:00Z,None,None,None,None,None,0,NA,646163752287469600,Jogja JogjaAsat JogjaOraDidol JogjaKangenKPK,neutral,1,Dodok Jogja,dodoputrabangsa
None,None,#Jogja #JogjaOraDidol #JogjaKangenKPK #JogjaAsat,None,None,None,None,None,None,None,#Jogja #JogjaOraDidol #JogjaKangenKPK #JogjaAsat,NA,None,NA,0,None,None,None,2015-09-22T03:25:00Z,None,None,None,None,None,0,NA,646163499622662100,Jogja JogjaOraDidol JogjaKangenKPK JogjaAsat,neutral,1,Dodok Jogja,dodoputrabangsa
None,None,Mengawal peta jalan KPK dlm pemberantasan korupsi di Indonesia #DaruratKorupsi #Jogja #JogjaOraDidol #JogjaKangenKPK #JogjaAsat,None,None,None,None,None,None,None,Mengawal peta jalan KPK dlm pemberantasan korupsi di Indonesia #DaruratKorupsi #Jogja #JogjaOraDidol #JogjaKangenKPK #JogjaAsat,NA,None,NA,0,None,None,None,2015-09-22T03:25:00Z,None,None,None,None,None,0,NA,646163429070258200,DaruratKorupsi Jogja JogjaOraDidol JogjaKangenKPK JogjaAsat,negative,3,Dodok Jogja,dodoputrabangsa
None,None,Apik iki.. #JogjaOraDiDol,None,None,None,None,None,None,None,Apik iki.. #JogjaOraDiDol,NA,None,NA,0,None,None,None,2015-09-22T01:24:00Z,None,None,None,None,None,0,NA,646132914531360800,JogjaOraDiDol,neutral,4,Rio Ramabaskara,Rio_Ramabaskara
None,None,"Stand for peace, #jogjaoradidol, #jogjakangenkpk, #jogjaasat",None,None,None,None,None,None,None,"Stand for peace, #jogjaoradidol, #jogjakangenkpk, #jogjaasat",NA,None,NA,0,None,None,None,2015-09-21T13:57:00Z,None,None,None,None,None,0,NA,645960164894335e3,jogjaoradidol jogjakangenkpk jogjaasat,neutral,3,Subandri Simbolon,BandRI_Simbolon
None,None,Kereta aja gandengan masa kamu ngak???? . . . . jogjakarta.id jogjaku #jogjaku #jogjaoradidol…,None,None,None,None,None,None,None,Kereta aja gandengan masa kamu ngak???? . . . . jogjakarta.id jogjaku #jogjaku #jogjaoradidol…,NA,None,NA,0,None,None,None,2015-09-20T12:25:00Z,None,None,None,None,None,0,NA,645574397995143200,jogjaku jogjaoradidol,neutral,0,G.Bektii,GansSubekti
None,None,@Telkomsel #DamaiItuSaat? #JogjaOraDiDol,None,None,None,None,None,None,None,@Telkomsel #DamaiItuSaat? #JogjaOraDiDol,Telkomsel,None,NA,0,None,None,None,2015-09-20T03:26:00Z,None,None,None,None,None,1,NA,645438929575915500,DamaiItuSaat JogjaOraDiDol,neutral,0,꧋ꦥꦿꦶꦪꦩ꧀ꦧꦺꦴꦢꦺꦴ꧉,teppokbuluangsa
None,None,Pinasthika creative fest 2015 #jogjaoradidol #pinasthika #pameran #propaganda #hero2hore #antitank…,None,None,None,None,None,None,None,Pinasthika creative fest 2015 #jogjaoradidol #pinasthika #pameran #propaganda #hero2hore #antitank…,NA,None,NA,0,None,None,None,2015-09-19T13:19:00Z,None,None,None,None,None,0,NA,645225762493198300,jogjaoradidol pinasthika pameran propaganda hero2hore antitank,neutral,0,DANANG,DanangAF7
None,None,#JogjaOraDiDol @JRX_SID sumber air terancam akibat pembangunan hotel,None,None,None,None,None,None,None,#JogjaOraDiDol @JRX_SID sumber air terancam akibat pembangunan hotel,JRX_SID,None,NA,0,None,None,None,2015-09-19T10:16:00Z,None,None,None,None,None,0,NA,645179758947397600,JogjaOraDiDol,neutral,0,El Punk Rock Salvo Mi Vida,Abror_Anarchy
None,None,#jogjaoradidol jangan jakartanisasi jogja dong :(,None,None,None,None,None,None,None,#jogjaoradidol jangan jakartanisasi jogja dong :(,NA,None,NA,0,None,None,None,2015-09-19T08:17:00Z,None,None,None,None,None,0,NA,645149744864432100,jogjaoradidol,negative,0,⎊ uju-holic ۞,dd_1909
None,None,Nah ini sudah muncul #SayaDukung #JogjaORAdidol #OjoNgantiJogjaAmbyar @Dwi_Sussanti @herabertani @herry_zudianto,None,None,None,None,None,None,None,Nah ini sudah muncul #SayaDukung #JogjaORAdidol #OjoNgantiJogjaAmbyar @Dwi_Sussanti @herabertani @herry_zudianto,Dwi_Sussanti herabertani herry_zudianto,None,NA,0,None,None,None,2015-09-18T14:30:00Z,None,None,None,None,None,0,NA,644881138096320500,SayaDukung JogjaORAdidol OjoNgantiJogjaAmbyar,neutral,0,hijrahtelotelo,gurupetruk
None,None,@TrioMacn2000 Etnis Thionghoa nggk bisa beli tanah tapi WNA bisa beli tanah sama aja #JogjaOraDiDol,None,None,None,None,None,None,None,@TrioMacn2000 Etnis Thionghoa nggk bisa beli tanah tapi WNA bisa beli tanah sama aja #JogjaOraDiDol,TrioMacn2000,None,2941676671,0,None,None,None,2015-09-18T14:10:00Z,None,None,None,None,None,0,TrioMacn2000,644876074522841100,JogjaOraDiDol,neutral,0,มูฮัมหมัด,masABEB
None,None,Jika Idealisme Mu Berlandaskan Uang Anda Sepatutnya Tidak Layak hidup Di Dunia! #BaliTolakReklamasi! #JogjaOraDidol !,None,None,None,None,None,None,None,Jika Idealisme Mu Berlandaskan Uang Anda Sepatutnya Tidak Layak hidup Di Dunia! #BaliTolakReklamasi! #JogjaOraDidol !,NA,None,NA,0,None,None,None,2015-09-18T10:31:00Z,None,None,None,None,None,0,NA,644820952056918e3,BaliTolakReklamasi JogjaOraDidol,positive,0,Sinchan,Agusr_011
None,None,Tetaplah begini dan jangan jadi hotel. #SlemanAmbyar #JogjaAsat #SlemanOraDiDol #JogjaOraDiDol,None,None,None,None,None,None,None,Tetaplah begini dan jangan jadi hotel. #SlemanAmbyar #JogjaAsat #SlemanOraDiDol #JogjaOraDiDol,NA,None,NA,0,None,None,None,2015-09-18T08:01:00Z,None,None,None,None,None,0,NA,644783170949357600,SlemanAmbyar JogjaAsat SlemanOraDiDol JogjaOraDiDol,neutral,3,Yas,YYS93
None,None,Pembangunan Hotel2 yg kian menjamur di Jogja. Mau jadi apa besok kelak? #JogjaAsat #JogjaOraDiDol…,None,None,None,None,None,None,None,Pembangunan Hotel2 yg kian menjamur di Jogja. Mau jadi apa besok kelak? #JogjaAsat #JogjaOraDiDol…,NA,None,NA,0,None,None,None,2015-09-18T06:21:00Z,None,None,None,None,None,1,NA,644758097181966300,JogjaAsat JogjaOraDiDol,neutral,3,UNCLE BOY,maz_boy13
None,None,Di Bekasi #JogjaOraDidol sdh berkeliaran... #JogjaAsat #JogjaKangenKPK,None,None,None,None,None,None,None,Di Bekasi #JogjaOraDidol sdh berkeliaran... #JogjaAsat #JogjaKangenKPK,NA,None,NA,0,None,None,None,2015-09-17T15:39:00Z,None,None,None,None,None,0,NA,644536193091158e3,JogjaOraDidol JogjaAsat JogjaKangenKPK,negative,2,Dodok Jogja,dodoputrabangsa
None,None,"Antara Jogja, Sunset, dan CRANE kalian!!! #JogjaOraDidol #Jogja #Jogjaku #Istimewa #JogjaIstimewa…",None,None,None,None,None,None,None,"Antara Jogja, Sunset, dan CRANE kalian!!! #JogjaOraDidol #Jogja #Jogjaku #Istimewa #JogjaIstimewa…",NA,None,NA,0,None,None,None,2015-09-17T12:01:00Z,None,None,None,None,None,0,NA,644481370392240100,JogjaOraDidol Jogja Jogjaku Istimewa JogjaIstimewa,positive,4,Burhanuddin Aziz,burhanuddinap
None,None,#JogjaOraDidol “ @purnomoe110: #Jogja,None,None,None,None,None,None,None,#JogjaOraDidol “ @purnomoe110: #Jogja,purnomoe110,None,2899384788,1,None,None,None,2015-09-17T08:12:00Z,None,None,None,None,None,0,purnomoe110,644423709034332200,JogjaOraDidol Jogja,neutral,3,Elanto Wijoyono,joeyakarta
None,None,"Koin Untuk PKL, Ketuk Simpati Masyarakat #JogjaOraDidol #JogjaTanpaNegara",None,None,None,None,None,None,None,"Koin Untuk PKL, Ketuk Simpati Masyarakat #JogjaOraDidol #JogjaTanpaNegara",NA,None,NA,0,None,None,None,2015-09-16T05:26:00Z,None,None,None,None,None,0,NA,644019620991602700,JogjaOraDidol JogjaTanpaNegara,neutral,0,BANG ARDI,BangArdi14
None,None,#JogjaOraDidol,None,None,None,None,None,None,None,#JogjaOraDidol,NA,None,NA,0,None,None,None,2015-09-15T15:31:00Z,None,None,None,None,None,0,NA,643809441775665200,JogjaOraDidol,neutral,1,Hutama,Hutama_Muchtar
None,None,#jogjaoradidol #jogjaasat #,None,None,None,None,None,None,None,#jogjaoradidol #jogjaasat #,NA,None,NA,0,None,None,None,2015-09-15T02:15:00Z,None,None,None,None,None,0,NA,643608999208726500,jogjaoradidol jogjaasat,neutral,0,gondogagah,gondogagah
None,None,Langka! #CagarBudaya Pajeksan yg dirobohkan utk hotel mulai dibangun lg oleh dev @AmarisHotels #Jogja #JogjaOraDidol,None,None,None,None,None,None,None,Langka! #CagarBudaya Pajeksan yg dirobohkan utk hotel mulai dibangun lg oleh dev @AmarisHotels #Jogja #JogjaOraDidol,AmarisHotels,None,NA,0,None,None,None,2015-09-15T02:10:00Z,None,None,None,None,None,0,NA,643607813269397500,CagarBudaya Jogja JogjaOraDidol,positive,9,Elanto Wijoyono,joeyakarta
None,None,#repost @noveradika New Mall #mall #jogjaistimewa #jogja #jogjaoradidol #jogjatoday #pfijogja…,None,None,None,None,None,None,None,#repost @noveradika New Mall #mall #jogjaistimewa #jogja #jogjaoradidol #jogjatoday #pfijogja…,noveradika,None,NA,0,None,None,None,2015-09-14T15:52:00Z,None,None,None,None,None,0,NA,643452223612170200,repost mall jogjaistimewa jogja jogjaoradidol jogjatoday pfijogja,neutral,0,pfi_malang,pfi_malang
None,None,Panitikismo @KratonJogja_ Angkat Bicara soal Gugatan Rp 1 M ~ Berpihak pd rakyat atau korporat? #Jogja #JogjaOraDidol,None,None,None,None,None,None,None,Panitikismo @KratonJogja_ Angkat Bicara soal Gugatan Rp 1 M ~ Berpihak pd rakyat atau korporat? #Jogja #JogjaOraDidol,KratonJogja_,None,NA,0,None,None,None,2015-09-14T11:12:00Z,None,None,None,None,None,0,NA,643381793270313e3,Jogja JogjaOraDidol,neutral,2,Warga Yogya Berdaya,wargaberdaya
None,None,"PKL #Jogja Digugat Rp1,2 M, @kratonjogja_ Angkat Bicara ~ Tahta utk Rakyat atau Tahta utk Korporat? #JogjaOraDidol",None,None,None,None,None,None,None,"PKL #Jogja Digugat Rp1,2 M, @kratonjogja_ Angkat Bicara ~ Tahta utk Rakyat atau Tahta utk Korporat? #JogjaOraDidol",kratonjogja_,None,NA,0,None,None,None,2015-09-14T10:59:00Z,None,None,None,None,None,0,NA,643378577912631300,Jogja JogjaOraDidol,neutral,7,Warga Yogya Berdaya,wargaberdaya
None,None,"Mediasi gagal, gugatan Rp 1 M PKL di #Jogja berlanjut ~ status kekancingan makin ramah utk pemodal :( #JogjaOraDidol",None,None,None,None,None,None,None,"Mediasi gagal, gugatan Rp 1 M PKL di #Jogja berlanjut ~ status kekancingan makin ramah utk pemodal :( #JogjaOraDidol",NA,None,NA,0,None,None,None,2015-09-14T10:56:00Z,None,None,None,None,None,0,NA,643377716780138500,Jogja JogjaOraDidol,positive,4,Warga Yogya Berdaya,wargaberdaya
None,None,"Istimewa >>> Digugat Rp 1 Miliar, 5 PKL Aksi Jemur Diri di Alun-alun Keraton #JogjaTanpaNegara #JogjaOraDidol",None,None,None,None,None,None,None,"Istimewa >>> Digugat Rp 1 Miliar, 5 PKL Aksi Jemur Diri di Alun-alun Keraton #JogjaTanpaNegara #JogjaOraDidol",NA,None,NA,0,None,None,None,2015-09-13T18:21:00Z,None,None,None,None,None,0,NA,643127352881340400,JogjaTanpaNegara JogjaOraDidol,neutral,3,Dodok Jogja,dodoputrabangsa
None,None,"Yk Istimewa >>> Digugat Rp 1 Miliar, 5 PKL Aksi Jemur Diri di Alun-alun Keraton #JogjaTanpaNegara #JogjaOraDidol",None,None,None,None,None,None,None,"Yk Istimewa >>> Digugat Rp 1 Miliar, 5 PKL Aksi Jemur Diri di Alun-alun Keraton #JogjaTanpaNegara #JogjaOraDidol",NA,None,NA,0,None,None,None,2015-09-13T18:20:00Z,None,None,None,None,None,0,NA,643127127307452400,JogjaTanpaNegara JogjaOraDidol,neutral,2,Dodok Jogja,dodoputrabangsa
